date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:55	63795/63795	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20May%202025%2014:55:57%20GMT	https://freekb.es/spotify/	C:/Users/roybo/Desktop/sporoy/freekb.es/spotify/index.html	(from )
17:55:55	43/43	---M--	200	added ('OK')	text/plain	etag:%222b-59829c5226500%22	https://freekb.es/robots.txt		(from )
17:55:55	625/625	---M--	200	added ('OK')	application/json	etag:%22271-5c48835019f79%22	https://freekb.es/spotify/manifest.json	C:/Users/roybo/Desktop/sporoy/freekb.es/spotify/manifest.json	(from https://freekb.es/spotify/)
17:55:55	25620/25620	---M--	200	added ('OK')	image/png	etag:%226414-5c4882bf9c47e%22	https://freekb.es/spotify/icon.png	C:/Users/roybo/Desktop/sporoy/freekb.es/spotify/icon.png	(from https://freekb.es/spotify/)
17:55:55	122562/122562	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221dec2-5c4882bff1bad%22	https://freekb.es/spotify/favicon.ico	C:/Users/roybo/Desktop/sporoy/freekb.es/spotify/favicon.ico	(from https://freekb.es/spotify/)
17:55:56	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/roybo/Desktop/sporoy/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://freekb.es/spotify/)
17:55:56	11411/11411	---M-Z	200	added ('OK')	application/javascript	etag:%222c93-5c488145009be-gzip%22	https://freekb.es/spotify/vibrant.min.js	C:/Users/roybo/Desktop/sporoy/freekb.es/spotify/vibrant.min.js	(from https://freekb.es/spotify/)
17:55:56	86546/86546	---M-Z	200	added ('OK')	application/javascript	etag:%2215212-5c48814590a6d-gzip%22	https://freekb.es/spotify/spotify-web-api.js	C:/Users/roybo/Desktop/sporoy/freekb.es/spotify/spotify-web-api.js	(from https://freekb.es/spotify/)
